year,year_out_of_range,same_pickup_dropoff,dropoff_before_pickup,zero_distance,zero_passengers,negative_fare,total_rows
2008,1,1,0,22,0,1,115
2009,2,1,0,39,0,3,315
2010,348,1,0,17,0,1,348
2012,3,0,0,0,0,0,3
2014,0,9978,202,241457,3346,11626,15837009
2015,0,12831,259,273839,6100,30852,19233765
2016,0,11225,101,218030,4375,32982,16385541
2017,0,6640,51,135719,1842,26636,11736906
2018,0,5477,28,103608,12371,23060,8899314
2019,0,14270,302,138590,11688,19906,6300814
2020,0,2448,94,64464,3199,4422,1734166
2021,0,1212,2,40486,1431,2090,1068729
2022,0,1500,1,49391,3517,2163,840394
2023,0,1033,0,39493,6143,2217,787055
2024,0,659,2,34573,6792,2143,660204
2025,0,566,1344,24439,8256,1736,591369
2026,0,53,1,2676,1129,225,77655
2030,2,0,0,0,0,0,2
2035,1,0,0,1,0,0,1
2041,1,0,0,1,0,0,1
2062,1,0,0,1,0,0,1
2081,1,0,0,0,0,0,1
